"","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"1","AWAITING REVIEW","2023-12-13T17:13:47.278000Z","2023-12-13T17:53:17.035000Z",NA,"2023-12-13T17:53:17.481294Z",2370,"C6UC3A24",276,"Malay, Tamil, English","No","24","Female","Asian","Malaysia","United Kingdom","Malaysia","Malay","Yes","Unemployed (and job seeking)","SUPPRF51148"
"2","AWAITING REVIEW","2023-12-13T17:21:02.960000Z","2023-12-13T18:16:05.438000Z",NA,"2023-12-13T18:16:05.907621Z",3303,"C6UC3A24",446,"English","No","18","Female","Black","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","SUPPRF08809"
"3","AWAITING REVIEW","2023-12-13T17:24:04.507000Z","2023-12-13T18:23:19.636000Z",NA,"2023-12-13T18:23:20.204091Z",3556,"C6UC3A24",75,"English","No","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time","SUPPRF66414"
"4","AWAITING REVIEW","2023-12-13T17:32:51.808000Z","2023-12-13T18:08:55.499000Z",NA,"2023-12-13T18:08:55.972176Z",2164,"C6UC3A24",730,"English","No","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF71393"
"5","AWAITING REVIEW","2023-12-13T17:42:12.396000Z","2023-12-13T18:22:44.363000Z",NA,"2023-12-13T18:22:45.194204Z",2432,"C6UC3A24",240,"English","No","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","SUPPRF30141"
"6","AWAITING REVIEW","2023-12-13T17:46:31.685000Z","2023-12-13T18:24:54.610000Z",NA,"2023-12-13T18:24:55.129497Z",2303,"C6UC3A24",552,"English","No","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)","SUPPRF78779"
"7","AWAITING REVIEW","2023-12-13T18:00:25.658000Z","2023-12-13T18:35:33.516000Z",NA,"2023-12-13T18:35:33.980147Z",2108,"C6UC3A24",1103,"English","No","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","SUPPRF37742"
"8","AWAITING REVIEW","2023-12-13T18:04:19.641000Z","2023-12-13T18:44:57.113000Z",NA,"2023-12-13T18:44:57.577867Z",2438,"C6UC3A24",430,"English","No","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF23841"
"9","AWAITING REVIEW","2023-12-13T18:09:52.701000Z","2023-12-13T18:33:00.929000Z",NA,"2023-12-13T18:33:01.419107Z",1389,"NOCODE",181,"English","No","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)",NA
"10","AWAITING REVIEW","2023-12-13T18:10:34.314000Z","2023-12-13T18:52:36.363000Z",NA,"2023-12-13T18:52:36.845749Z",2523,"C6UC3A24",559,"English, Spanish","No","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","SUPPRF21120"
"11","AWAITING REVIEW","2023-12-13T18:15:37.474000Z","2023-12-13T19:02:48.118000Z",NA,"2023-12-13T19:02:48.688975Z",2831,"C6UC3A24",144,"Bengali, English","No","24","Female","Asian","Bangladesh","United Kingdom","United Kingdom","Bengali","No","Unemployed (and job seeking)","SUPPRF76142"
"12","AWAITING REVIEW","2023-12-13T18:22:29.393000Z","2023-12-13T18:59:44.080000Z",NA,"2023-12-13T18:59:44.569990Z",2235,"C6UC3A24",69,"English, Russian, Ukrainian","No","22","Male","White","Ukraine","United Kingdom","Ukraine","Russian","No","Full-Time","SUPPRF14695"
"13","AWAITING REVIEW","2023-12-13T18:30:58.961000Z","2023-12-13T19:12:14.252000Z",NA,"2023-12-13T19:12:14.657254Z",2476,"C6UC3A24",270,"English","No","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF33974"
"14","AWAITING REVIEW","2023-12-13T18:32:02.876000Z","2023-12-13T19:16:43.711000Z",NA,"2023-12-13T19:16:44.149293Z",2681,"C6UC3A24",6,"English, Hindi","No","22","Male","Asian","India","United Kingdom","India","English","Yes","Other","SUPPRF61954"
"15","AWAITING REVIEW","2023-12-13T18:37:46.489000Z","2023-12-13T19:38:13.727000Z",NA,"2023-12-13T19:38:14.182388Z",3628,"C6UC3A24",122,"English, French","No","21","Female","Black","Cote d'Ivoire","United States","Cote d'Ivoire","French","Yes","Full-Time","SUPPRF49764"
"16","AWAITING REVIEW","2023-12-13T18:52:24.895000Z","2023-12-13T19:37:29.745000Z",NA,"2023-12-13T19:37:30.218402Z",2705,"C6UC3A24",30,"English, Spanish","No","18","Male","Other","Venezuela, Bolivarian Republic of","United States","Venezuela, Bolivarian Republic of","Spanish","Yes","Other","SUPPRF92791"
"17","AWAITING REVIEW","2023-12-13T19:02:28.170000Z","2023-12-13T19:39:43.886000Z",NA,"2023-12-13T19:39:44.315971Z",2236,"C6UC3A24",563,"English","No","23","Female","White","United States","United States","United States","English","DATA_EXPIRED","Not in paid work (e.g. homemaker', 'retired or disabled)","SUPPRF64663"
"18","AWAITING REVIEW","2023-12-13T19:05:24.024000Z","2023-12-13T20:11:36.803000Z",NA,"2023-12-13T20:11:37.232133Z",3973,"C6UC3A24",80,"English","No","21","Male","Black","Nigeria","United States","Nigeria","English","No","Full-Time","SUPPRF09275"
