"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.af8t","Rating.Scale.object.2.Fear.of.embarrassment.causes.me.to.avoid.doing.things.or.speaking.to.people.","Rating.Scale.object.2.Fear.of.embarrassment.causes.me.to.avoid.doing.things.or.speaking.to.people..Quantised","Rating.Scale.object.2.I.avoid.activities.in.which.I.am.the.center.of.attention.","Rating.Scale.object.2.I.avoid.activities.in.which.I.am.the.center.of.attention..Quantised","Rating.Scale.object.2.Being.embarrassed.or.looking.stupid.are.among.my.worst.fears.","Rating.Scale.object.2.Being.embarrassed.or.looking.stupid.are.among.my.worst.fears..Quantised","Score..SPINScore","Random_ID"
"1",1702487821281,"13/12/2023 17:17:01",1702487821281,0,"13/12/2023 17:17:01",157047,5,"questionnaire-4h2a",NA,33645233,9958209,NA,"complete",NA,"6579e646f74df15ba94f1587","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1710x1107","1710x886",NA,NA,0,"Mini-SPIN",2,"ABJCIDHEGF","Passed AC2","","Self_focused_attention_first","3","4","1","2","2","3","6","SUPPRF51148"
"1",1702488629861,"13/12/2023 17:30:29",1702488629861,0,"13/12/2023 17:30:29",157047,5,"questionnaire-4h2a",NA,33645782,9958278,NA,"complete",NA,"6579e7aa4b52396e491c9cc6","computer","Desktop or Laptop","Linux x86_64","Chrome 119.0.0.0","1205x753","1205x618",NA,NA,0,"Mini-SPIN",2,"BCADJEIFHG","Passed AC2","","External_attention_first","3","4","1","2","3","4","7","SUPPRF08809"
"1",1702489620604,"13/12/2023 17:47:00",1702489620604,0,"13/12/2023 17:47:00",157047,5,"questionnaire-4h2a",NA,33646252,9958307,NA,"complete",NA,"6579e89cc6dc7b0ff36ab9aa","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x813",NA,NA,0,"Mini-SPIN",2,"DECFBGAHJI","Passed AC2","","Self_focused_attention_first","4","5","2","3","4","5","10","SUPPRF66414"
"1",1702489112230,"13/12/2023 17:38:32",1702489112230,0,"13/12/2023 17:38:32",157047,5,"questionnaire-4h2a",NA,33646026,9958344,NA,"complete",NA,"6579ea92ae350e915f9413a3","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1366x768","1366x644",NA,NA,0,"Mini-SPIN",2,"CDBEAFJGIH","Passed AC2","","External_attention_first","1","2","2","3","1","2","4","SUPPRF71393"
"1",1702489803942,"13/12/2023 17:50:03",1702489803942,0,"13/12/2023 17:50:03",157047,5,"questionnaire-4h2a",NA,33646343,9958387,NA,"complete",NA,"6579ecf0453e501981a47e1d","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","2560x1440","2560x1323",NA,NA,0,"Mini-SPIN",2,"EFDGCHBIAJ","Passed AC2","","External_attention_first","2","3","2","3","2","3","6","SUPPRF30141"
"1",1702490114611,"13/12/2023 17:55:14",1702490114611,0,"13/12/2023 17:55:14",157047,5,"questionnaire-4h2a",NA,33646482,9958403,NA,"complete",NA,"6579ede741c407c8885ec577","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1280x720","1280x720",NA,NA,0,"Mini-SPIN",2,"FGEHDICJBA","Passed AC2","","Self_focused_attention_first","1","2","1","2","1","2","3","SUPPRF78779"
"1",1702490681396,"13/12/2023 18:04:41",1702490681396,0,"13/12/2023 18:04:41",157047,5,"questionnaire-4h2a",NA,33646675,9958457,NA,"complete",NA,"6579f1191916bca7b797b451","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x815",NA,NA,0,"Mini-SPIN",2,"GHFIEJDACB","Passed AC2","","External_attention_first","0","1","0","1","0","1","0","SUPPRF37742"
"1",1702490998113,"13/12/2023 18:09:58",1702490998113,0,"13/12/2023 18:09:58",157047,5,"questionnaire-4h2a",NA,33646782,9958474,NA,"complete",NA,"6579f21df61fd8d35f99f228","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1366x768","1366x611",NA,NA,0,"Mini-SPIN",2,"HIGJFAEBDC","Passed AC2","","Self_focused_attention_first","0","1","0","1","0","1","0","SUPPRF23841"
"1",1702491189086,"13/12/2023 18:13:09",1702491189086,0,"13/12/2023 18:13:09",157047,5,"questionnaire-4h2a",NA,33646853,9958507,NA,"complete",NA,"6579f394d70dff89928ee832","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1440x960","1440x825",NA,NA,0,"Mini-SPIN",2,"IJHAGBFCED","Passed AC2","","Self_focused_attention_first","3","4","4","5","4","5","11","SUPPRF21120"
"1",1702491986859,"13/12/2023 18:26:26",1702491986859,0,"13/12/2023 18:26:26",157047,5,"questionnaire-4h2a",NA,33647157,9958550,NA,"complete",NA,"6579f4c9a63d54420e4e3405","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1800x911",NA,NA,0,"Mini-SPIN",2,"BCADJEIFHG","Passed AC2","","External_attention_first","0","1","2","3","2","3","4","SUPPRF76142"
