"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1692005748859,"14/08/2023 09:35:48",1692009348859,1,"14/08/2023 11:35:48",140743,17,"task-oyxw",NA,31172487,9241773,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF20908"
"2",1692005754403,"14/08/2023 09:35:54",1692009354403,1,"14/08/2023 11:35:54",140743,17,"task-oyxw",NA,31172487,9241773,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",1,"Instructions","Screen 1","by7fw4",1,"continue","",5540,5524,5540,5540,5524,5540,1,5540,0,0,NA,"Click To Continue","Continue Button",2,"object-15","Instructions",NA,"SUPPRF20908"
"3",1692005756133,"14/08/2023 09:35:56",1692009356133,1,"14/08/2023 11:35:56",140743,17,"task-oyxw",NA,31172487,9241773,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",1,"Instructions","Screen 2","32ryug",2,"continue","",1750,1733,1750,1750,1733,1750,1,1750,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions",NA,"SUPPRF20908"
"4",1692005761381,"14/08/2023 09:36:01",1692009361381,1,"14/08/2023 11:36:01",140743,17,"task-oyxw",NA,31172487,9241773,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",1,"Instructions","Screen 6","qfz25j",3,"continue","",5266,5249,5266,5266,5249,5266,1,5266,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Instructions",NA,"SUPPRF20908"
"5",1692005764796,"14/08/2023 09:36:04",1692009364796,1,"14/08/2023 11:36:04",140743,17,"task-oyxw",NA,31172487,9241773,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",1,"Instructions","Screen 3","oiajeu",4,"continue","",3432,3415,3432,3432,3415,3432,1,3432,0,0,NA,"Click To Continue","Continue Button",2,"object-21","Instructions",NA,"SUPPRF20908"
"6",1692005772494,"14/08/2023 09:36:12",1692009372494,1,"14/08/2023 11:36:12",140743,17,"task-oyxw",NA,31172487,9241773,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",1,"Instructions","Screen 4","x6yf73",5,"continue","",7713,7697,7713,7713,7697,7713,1,7713,0,0,NA,"Click To Continue","Continue Button",2,"object-24","Instructions",NA,"SUPPRF20908"
"7",1692005773760,"14/08/2023 09:36:13",1692009373760,1,"14/08/2023 11:36:13",140743,17,"task-oyxw",NA,31172487,9241773,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",1,"Instructions","Screen 7","rb1b6r",6,"continue","",1284,1267,1284,1284,1267,1284,1,1284,0,0,NA,"Click To Continue","Continue Button",2,"object-49","Instructions",NA,"SUPPRF20908"
"8",1692005855605,"14/08/2023 09:37:35",1692009455605,1,"14/08/2023 11:37:35",140743,17,"task-oyxw",NA,31172487,9241773,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"continue","",81856,81840,81856,81856,81840,81856,1,81856,0,0,NA,"Click To Continue","Continue Button",2,"object-29","Practice run",NA,"SUPPRF20908"
"9",1692005867462,"14/08/2023 09:37:47",1692009467462,1,"14/08/2023 11:37:47",140743,17,"task-oyxw",NA,31172487,9241773,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x314",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"continue","",93720,93703,93720,93720,93703,93720,1,93720,0,0,NA,"Click To Continue","Continue Button",2,"object-29","Practice run",NA,"SUPPRF20908"
"10",1692005869726,"14/08/2023 09:37:49",1692009469726,1,"14/08/2023 11:37:49",140743,17,"task-oyxw",NA,31172487,9241773,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Pre-Video Feedback Task (Clone)",6,"DECFBGAHJI",NA,"study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",1,"Practice run","Screen 1","ncwxmk",1,"continue","",95986,95969,95986,95986,95969,95986,1,95986,0,0,NA,"Click To Continue","Continue Button",2,"object-29","Practice run",NA,"SUPPRF20908"
