"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Consent.Form.object.2.I.have.read.and.understood.the.Study.Description.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1692004745430,"14/08/2023 09:19:05",1692008345430,1,"14/08/2023 11:19:05",140743,17,"questionnaire-wco5",NA,31172232,9241761,NA,"complete",NA,"64d9ff8d839c19319fab2911","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Consent (cloned with scoring)",7,"BCADJEIFHG","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","1","1","1","1","1","1","1","1","1","1","SUPPRF18538"
"1",1692004998603,"14/08/2023 09:23:18",1692008598603,1,"14/08/2023 11:23:18",140743,17,"questionnaire-wco5",NA,31172275,9241773,NA,"complete",NA,"64da000bb77c30175cda1703","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.6","810x1080","1080x707",NA,NA,0,"Consent (cloned with scoring)",7,"DECFBGAHJI","","study_2 (video_feedback and feedback_list_2)","VF_1st","1","1","1","1","1","1","1","1","1","1","SUPPRF20908"
"1",1692005522020,"14/08/2023 09:32:02",1692009122020,1,"14/08/2023 11:32:02",140743,17,"questionnaire-wco5",NA,31172395,9241810,NA,"complete",NA,"64da02835a5052b70ee79e36","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1440x815",NA,NA,0,"Consent (cloned with scoring)",7,"FGEHDICJBA","A (JV first)","study_1 (JV and feedback_list_1)","","1","1","1","1","1","1","1","1","1","1","SUPPRF98941"
"1",1692005603451,"14/08/2023 09:33:23",1692009203451,1,"14/08/2023 11:33:23",140743,17,"questionnaire-wco5",NA,31172427,9241820,NA,"complete",NA,"64da01617f4e2f7acbe39dd7","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,0,"Consent (cloned with scoring)",7,"GHFIEJDACB","","study_2 (video_feedback and feedback_list_2)","VF_1st","1","1","1","1","1","1","1","1","1","1","SUPPRF56705"
"1",1692005927078,"14/08/2023 09:38:47",1692009527078,1,"14/08/2023 11:38:47",140743,17,"questionnaire-wco5",NA,31172536,9241854,NA,"complete",NA,"64da041f0e6d392fff657804","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.5.1","1440x900","1212x795",NA,NA,0,"Consent (cloned with scoring)",7,"HIGJFAEBDC","A (JV first)","study_1 (JV and feedback_list_1)","","1","1","1","1","1","1","1","1","1","1","SUPPRF15001"
"1",1692006354178,"14/08/2023 09:45:54",1692009954178,1,"14/08/2023 11:45:54",140743,17,"questionnaire-wco5",NA,31172686,9241888,NA,"complete",NA,"64da05cb6b98735afb657801","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x689",NA,NA,0,"Consent (cloned with scoring)",7,"JAIBHCGDFE","","study_2 (video_feedback and feedback_list_2)","VF_1st","1","1","1","1","1","1","1","1","1","1","SUPPRF94218"
"1",1692014062141,"14/08/2023 11:54:22",1692017662141,1,"14/08/2023 13:54:22",140743,17,"questionnaire-wco5",NA,31175130,9242421,NA,"complete",NA,"64da2331d1c99ce54caf7f00","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x595",NA,NA,0,"Consent (cloned with scoring)",7,"DECFBGAHJI","","study_2 (video_feedback and feedback_list_2)","VF_1st","1","1","1","1","1","1","1","1","1","1","SUPPRF01065"
"1",1692014214938,"14/08/2023 11:56:54",1692017814938,1,"14/08/2023 13:56:54",140743,17,"questionnaire-wco5",NA,31175179,9242434,NA,"complete",NA,"64da237da070b69f2c9aafbb","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.5.2","1440x900","1324x724",NA,NA,0,"Consent (cloned with scoring)",7,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","1","1","1","1","1","1","1","1","1","1","SUPPRF63488"
"1",1692014248418,"14/08/2023 11:57:28",1692017848418,1,"14/08/2023 13:57:28",140743,17,"questionnaire-wco5",NA,31175185,9242435,NA,"complete",NA,"64da244f22c1185dd4ea45ff","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Consent (cloned with scoring)",7,"FGEHDICJBA","A (JV first)","study_1 (JV and feedback_list_1)","","1","1","1","1","1","1","1","1","1","1","SUPPRF82002"
"1",1692015122751,"14/08/2023 12:12:02",1692018722751,1,"14/08/2023 14:12:02",140743,17,"questionnaire-wco5",NA,31175542,9242486,NA,"complete",NA,"64da2810496ece3b2ddf78ff","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x603",NA,NA,0,"Consent (cloned with scoring)",7,"GHFIEJDACB","A (JV first)","study_1 (JV and feedback_list_1)","","1","1","1","1","1","1","1","1","1","1","SUPPRF83190"
