"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1692006374903,"14/08/2023 09:46:14",1692009974903,1,"14/08/2023 11:46:14",140743,17,"task-9zlx",NA,31172692,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Exit task",3,"CDBEAFJGIH","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",NA,NA,"","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF16300"
"2",1692006406431,"14/08/2023 09:46:46",1692010006431,1,"14/08/2023 11:46:46",140743,17,"task-9zlx",NA,31172692,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Exit task",3,"CDBEAFJGIH","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",1,1,"Screen 1","x3jytl",1,"response","it was a good experiment and fun. ",24040.766,32407.287,32413.900000006,24040.766,32407.287,32413.900000006,1,24040.766,8373.13400000596,0,NA,"Single Text Entry","Single Text Entry",2,"object-7",1,NA,"SUPPRF16300"
"3",1692006406433,"14/08/2023 09:46:46",1692010006433,1,"14/08/2023 11:46:46",140743,17,"task-9zlx",NA,31172692,9241769,NA,"complete",NA,"64d9ff71624435bf2a23761d","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Exit task",3,"CDBEAFJGIH","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",NA,NA,"","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF16300"
"1",1692016423605,"14/08/2023 12:33:43",1692020023605,1,"14/08/2023 14:33:43",140743,17,"task-9zlx",NA,31176002,9242399,NA,"complete",NA,"64da217fbeca8340a86d1818","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x963",NA,NA,0,"Exit task",3,"CDBEAFJGIH","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",NA,NA,"","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF27407"
"2",1692016429035,"14/08/2023 12:33:49",1692020029035,1,"14/08/2023 14:33:49",140743,17,"task-9zlx",NA,31176002,9242399,NA,"complete",NA,"64da217fbeca8340a86d1818","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x963",NA,NA,0,"Exit task",3,"CDBEAFJGIH","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",1,1,"Screen 1","x3jytl",1,"response","good study",3169.762,5422.047,5436.24799999963,3169.762,5422.047,5436.24799999963,1,3169.762,2266.48599999963,0,NA,"Single Text Entry","Single Text Entry",2,"object-7",1,NA,"SUPPRF27407"
"3",1692016429036,"14/08/2023 12:33:49",1692020029036,1,"14/08/2023 14:33:49",140743,17,"task-9zlx",NA,31176002,9242399,NA,"complete",NA,"64da217fbeca8340a86d1818","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x963",NA,NA,0,"Exit task",3,"CDBEAFJGIH","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",NA,NA,"","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF27407"
"1",1692016627237,"14/08/2023 12:37:07",1692020227237,1,"14/08/2023 14:37:07",140743,17,"task-9zlx",NA,31176085,9242434,NA,"complete",NA,"64da237da070b69f2c9aafbb","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.5.2","1440x900","1324x724",NA,NA,0,"Exit task",3,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,NA,"","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF63488"
"2",1692016639727,"14/08/2023 12:37:19",1692020239727,1,"14/08/2023 14:37:19",140743,17,"task-9zlx",NA,31176085,9242434,NA,"complete",NA,"64da237da070b69f2c9aafbb","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.5.2","1440x900","1324x724",NA,NA,0,"Exit task",3,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,1,"Screen 1","x3jytl",1,"response","a bit repetitive but good study",8744,15601,15608,8744,15601,15608,1,8744,6864,0,NA,"Single Text Entry","Single Text Entry",2,"object-7",1,NA,"SUPPRF63488"
"3",1692016639733,"14/08/2023 12:37:19",1692020239733,1,"14/08/2023 14:37:19",140743,17,"task-9zlx",NA,31176085,9242434,NA,"complete",NA,"64da237da070b69f2c9aafbb","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.5.2","1440x900","1324x724",NA,NA,0,"Exit task",3,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,NA,"","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF63488"
"1",1692017362160,"14/08/2023 12:49:22",1692020962160,1,"14/08/2023 14:49:22",140743,17,"task-9zlx",NA,31176321,9242435,NA,"complete",NA,"64da244f22c1185dd4ea45ff","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Exit task",3,"FGEHDICJBA","A (JV first)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,NA,"","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF82002"
"2",1692017431254,"14/08/2023 12:50:31",1692021031254,1,"14/08/2023 14:50:31",140743,17,"task-9zlx",NA,31176321,9242435,NA,"complete",NA,"64da244f22c1185dd4ea45ff","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Exit task",3,"FGEHDICJBA","A (JV first)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,1,"Screen 1","x3jytl",1,"response","progress bar at bottom/top of study to see how far participants are into study/how long is left ",34285.409,69120.789,69136.0490002861,34285.409,69120.789,69136.0490002861,1,34285.409,34850.6400002861,0,NA,"Single Text Entry","Single Text Entry",2,"object-7",1,NA,"SUPPRF82002"
"3",1692017431264,"14/08/2023 12:50:31",1692021031264,1,"14/08/2023 14:50:31",140743,17,"task-9zlx",NA,31176321,9242435,NA,"complete",NA,"64da244f22c1185dd4ea45ff","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Exit task",3,"FGEHDICJBA","A (JV first)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,NA,"","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF82002"
"1",1692018621324,"14/08/2023 13:10:21",1692022221324,1,"14/08/2023 15:10:21",140743,17,"task-9zlx",NA,31176786,9242534,NA,"complete",NA,"64da2b07dffffeb613275ea3","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1287x741",NA,NA,0,"Exit task",3,"IJHAGBFCED","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",NA,NA,"","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"",NA,NA,"SUPPRF44269"
"2",1692018626081,"14/08/2023 13:10:26",1692022226081,1,"14/08/2023 15:10:26",140743,17,"task-9zlx",NA,31176786,9242534,NA,"complete",NA,"64da2b07dffffeb613275ea3","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1287x741",NA,NA,0,"Exit task",3,"IJHAGBFCED","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",1,1,"Screen 1","x3jytl",1,"response","",4777.88400002384,4766.789,4777.88400002384,4777.88400002384,4766.789,4777.88400002384,1,4777.88400002384,0,0,NA,"Single Text Entry","Single Text Entry",2,"object-7",1,NA,"SUPPRF44269"
