"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1692005521224,"14/08/2023 09:32:01",1692009121224,1,"14/08/2023 11:32:01",140743,17,"task-n9i1",NA,31172394,9241761,NA,"complete",NA,"64d9ff8d839c19319fab2911","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Pre-Task Notice",2,"BCADJEIFHG","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF18538"
"2",1692005530156,"14/08/2023 09:32:10",1692009130156,1,"14/08/2023 11:32:10",140743,17,"task-n9i1",NA,31172394,9241761,NA,"complete",NA,"64d9ff8d839c19319fab2911","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Pre-Task Notice",2,"BCADJEIFHG","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,"Screen","Screen 1","xrjwiw",1,"continue","",8937.741,8930.704,8937.741,8937.741,8930.704,8937.741,1,8937.741,0,0,NA,"Click To Continue","Continue Button",2,"object-4","Screen",NA,"SUPPRF18538"
"3",1692005530159,"14/08/2023 09:32:10",1692009130159,1,"14/08/2023 11:32:10",140743,17,"task-n9i1",NA,31172394,9241761,NA,"complete",NA,"64d9ff8d839c19319fab2911","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Pre-Task Notice",2,"BCADJEIFHG","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF18538"
"1",1692006371646,"14/08/2023 09:46:11",1692009971646,1,"14/08/2023 11:46:11",140743,17,"task-n9i1",NA,31172691,9241751,NA,"complete",NA,"64d9ff3c7251de5e68eab8bb","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,0,"Pre-Task Notice",2,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF73133"
"2",1692006375043,"14/08/2023 09:46:15",1692009975043,1,"14/08/2023 11:46:15",140743,17,"task-n9i1",NA,31172691,9241751,NA,"complete",NA,"64d9ff3c7251de5e68eab8bb","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,0,"Pre-Task Notice",2,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,"Screen","Screen 1","xrjwiw",1,"continue","",3420.11100001192,3413.114,3420.11100001192,3420.11100001192,3413.114,3420.11100001192,1,3420.11100001192,0,0,NA,"Click To Continue","Continue Button",2,"object-4","Screen",NA,"SUPPRF73133"
"3",1692006375048,"14/08/2023 09:46:15",1692009975048,1,"14/08/2023 11:46:15",140743,17,"task-n9i1",NA,31172691,9241751,NA,"complete",NA,"64d9ff3c7251de5e68eab8bb","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,0,"Pre-Task Notice",2,"EFDGCHBIAJ","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF73133"
"1",1692006417196,"14/08/2023 09:46:57",1692010017196,1,"14/08/2023 11:46:57",140743,17,"task-n9i1",NA,31172707,9241820,NA,"complete",NA,"64da01617f4e2f7acbe39dd7","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,0,"Pre-Task Notice",2,"GHFIEJDACB","","study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF56705"
"2",1692006418792,"14/08/2023 09:46:58",1692010018792,1,"14/08/2023 11:46:58",140743,17,"task-n9i1",NA,31172707,9241820,NA,"complete",NA,"64da01617f4e2f7acbe39dd7","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,0,"Pre-Task Notice",2,"GHFIEJDACB","","study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",1,"Screen","Screen 1","xrjwiw",1,"continue","",1618.02200000596,1615.998,1618.02200000596,1618.02200000596,1615.998,1618.02200000596,1,1618.02200000596,0,0,NA,"Click To Continue","Continue Button",2,"object-4","Screen",NA,"SUPPRF56705"
"3",1692006418793,"14/08/2023 09:46:58",1692010018793,1,"14/08/2023 11:46:58",140743,17,"task-n9i1",NA,31172707,9241820,NA,"complete",NA,"64da01617f4e2f7acbe39dd7","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x747",NA,NA,0,"Pre-Task Notice",2,"GHFIEJDACB","","study_2 (video_feedback and feedback_list_2)","VF_1st","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF56705"
"1",1692006614555,"14/08/2023 09:50:14",1692010214555,1,"14/08/2023 11:50:14",140743,17,"task-n9i1",NA,31172778,9241865,NA,"complete",NA,"64da04919351a898f9c3ea48","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","500x512",NA,NA,0,"Pre-Task Notice",2,"IJHAGBFCED","A (JV first)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF41746"
