"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1706636888846,"30/01/2024 17:48:08",1706636888846,0,"30/01/2024 17:48:08",160285,9,"task-v7r7",NA,34620736,10236980,NA,"rejected - time limit reached",NA,"65b93341b6198f15a1f527da","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1366x768","1366x645",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF05583"
"2",1706636892824,"30/01/2024 17:48:12",1706636892824,0,"30/01/2024 17:48:12",160285,9,"task-v7r7",NA,34620736,10236980,NA,"rejected - time limit reached",NA,"65b93341b6198f15a1f527da","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1366x768","1366x645",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"Task Instructions","Screen 1","anr7sn",1,"continue","",3688.3,3682.7,3688.3,3688.3,3682.7,3688.3,1,3688.3,0,0,NA,"Click To Continue","Continue Button",3,"object-60","Task Instructions",NA,"SUPPRF05583"
"3",1706636896210,"30/01/2024 17:48:16",1706636896210,0,"30/01/2024 17:48:16",160285,9,"task-v7r7",NA,34620736,10236980,NA,"rejected - time limit reached",NA,"65b93341b6198f15a1f527da","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1366x768","1366x645",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"Task Instructions","Screen 2","ce2tc8",2,"continue","",3391.50000009537,3382.6,3391.50000009537,3391.50000009537,3382.6,3391.50000009537,1,3391.50000009537,0,0,NA,"Click To Continue","Continue Button",3,"object-59","Task Instructions",NA,"SUPPRF05583"
"4",1706636902371,"30/01/2024 17:48:22",1706636902371,0,"30/01/2024 17:48:22",160285,9,"task-v7r7",NA,34620736,10236980,NA,"rejected - time limit reached",NA,"65b93341b6198f15a1f527da","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1366x768","1366x645",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"Task Instructions","Screen 3","1qtc8v",3,"continue","",6170.70000004768,6166.6,6170.70000004768,6170.70000004768,6166.6,6170.70000004768,1,6170.70000004768,0,0,NA,"Click To Continue","Continue Button",2,"object-2983","Task Instructions",NA,"SUPPRF05583"
"5",1706636909123,"30/01/2024 17:48:29",1706636909123,0,"30/01/2024 17:48:29",160285,9,"task-v7r7",NA,34620736,10236980,NA,"rejected - time limit reached",NA,"65b93341b6198f15a1f527da","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1366x768","1366x645",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"Task Instructions","Screen 12","1a4vu2",4,"continue","",6747.5,6730.8,6747.5,6747.5,6730.8,6747.5,1,6747.5,0,0,NA,"Click To Continue","Continue Button",2,"object-2466","Task Instructions",NA,"SUPPRF05583"
"6",1706636916084,"30/01/2024 17:48:36",1706636916084,0,"30/01/2024 17:48:36",160285,9,"task-v7r7",NA,34620736,10236980,NA,"rejected - time limit reached",NA,"65b93341b6198f15a1f527da","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1366x768","1366x645",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"Task Instructions","Screen 13","q9vwda",5,"continue","",6981.8,6965.3,6981.8,6981.8,6965.3,6981.8,1,6981.8,0,0,NA,"Click To Continue","Continue Button",2,"object-2989","Task Instructions",NA,"SUPPRF05583"
"7",1706636919402,"30/01/2024 17:48:39",1706636919402,0,"30/01/2024 17:48:39",160285,9,"task-v7r7",NA,34620736,10236980,NA,"rejected - time limit reached",NA,"65b93341b6198f15a1f527da","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1366x768","1366x645",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"Task Instructions","Screen 11","oyulb7",6,"continue","",3338.70000009537,3333.7,3338.70000009537,3338.70000009537,3333.7,3338.70000009537,1,3338.70000009537,0,0,NA,"Click To Continue","Continue Button",2,"object-52","Task Instructions",NA,"SUPPRF05583"
"8",1706636922897,"30/01/2024 17:48:42",1706636922897,0,"30/01/2024 17:48:42",160285,9,"task-v7r7",NA,34620736,10236980,NA,"rejected - time limit reached",NA,"65b93341b6198f15a1f527da","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1366x768","1366x645",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"Task Instructions","Screen 4","spepx9",7,"continue","",3498.1,3481.5,3498.1,3498.1,3481.5,3498.1,1,3498.1,0,0,NA,"Click To Continue","Continue Button",2,"object-9","Task Instructions",NA,"SUPPRF05583"
"9",1706636925548,"30/01/2024 17:48:45",1706636925548,0,"30/01/2024 17:48:45",160285,9,"task-v7r7",NA,34620736,10236980,NA,"rejected - time limit reached",NA,"65b93341b6198f15a1f527da","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1366x768","1366x645",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",1,"Task Instructions","Screen 5","8nvnao",8,"continue","",2666.39999999999,2649.7,2666.39999999999,2666.39999999999,2649.7,2666.39999999999,1,2666.39999999999,0,0,NA,"Click To Continue","Continue Button",2,"object-44","Task Instructions",NA,"SUPPRF05583"
"10",1706636925556,"30/01/2024 17:48:45",1706636925556,0,"30/01/2024 17:48:45",160285,9,"task-v7r7",NA,34620736,10236980,NA,"rejected - time limit reached",NA,"65b93341b6198f15a1f527da","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1366x768","1366x645",NA,NA,0,"Task Introduction and Instructions (re-introduce video and audio) (Clone)",3,"ABJCIDHEGF","Passed AC2","","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF05583"
