"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1707940046185,"14/02/2024 19:47:26",1707940046185,0,"14/02/2024 19:47:26",165975,4,"questionnaire-xamc",NA,35156704,10389048,NA,"complete",NA,"65cd1867a8c70a340c80a8be","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Passed AC2",NA,"1","2",NA
"1",1707940224607,"14/02/2024 19:50:24",1707922224607,-5,"14/02/2024 09:50:24",165975,4,"questionnaire-xamc",NA,35156783,10389073,NA,"complete",NA,"65cd193ab210334c78dff783","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x684",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Passed AC2",NA,"1","2","SUPPRF73357"
"1",1707941743912,"14/02/2024 20:15:43",1707941743912,0,"14/02/2024 20:15:43",165975,4,"questionnaire-xamc",NA,35157600,10389205,NA,"complete",NA,"65cd1c256f7be3af7ebb1a2d","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1420x707",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIAJ","Passed AC2",NA,"1","2","SUPPRF82095"
"1",1707941581786,"14/02/2024 20:13:01",1707919981786,-6,"14/02/2024 08:13:01",165975,4,"questionnaire-xamc",NA,35157522,10389250,NA,"complete",NA,"65cd1e48f963d201475b76d4","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x953",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Passed AC2",NA,"1","2","SUPPRF29203"
"1",1707941820253,"14/02/2024 20:17:00",1707941820253,0,"14/02/2024 20:17:00",165975,4,"questionnaire-xamc",NA,35157648,10389285,NA,"complete",NA,"65cd1f657ceb9cd7d4dfacc3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 95.0.4638.54","1440x900","1440x821",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICJBA","Passed AC2",NA,"1","2","SUPPRF29384"
"1",1707942928021,"14/02/2024 20:35:28",1707946528021,1,"14/02/2024 22:35:28",165975,4,"questionnaire-xamc",NA,35158113,10389435,NA,"complete",NA,"65cd2321df8f04f73b0873bb","computer","Desktop or Laptop","Windows 10","Chrome 107.0.0.0","1536x864","1188x730",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEJDACB","Passed AC2",NA,"1","2","SUPPRF74532"
"1",1707943243645,"14/02/2024 20:40:43",1707946843645,1,"14/02/2024 22:40:43",165975,4,"questionnaire-xamc",NA,35158245,10389452,NA,"complete",NA,"65cd240b9901cef693c9dee4","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x991",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2",NA,"1","2","SUPPRF79953"
"1",1707943401743,"14/02/2024 20:43:21",1707943401743,0,"14/02/2024 20:43:21",165975,4,"questionnaire-xamc",NA,35158337,10389500,NA,"complete",NA,"65cd24fb55260acb6c71c388","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 121.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 1 (Clone)",1,"IJHAGBFCED","Passed AC2",NA,"1","2","SUPPRF11788"
"1",1707944391730,"14/02/2024 20:59:51",1707944391730,0,"14/02/2024 20:59:51",165975,4,"questionnaire-xamc",NA,35158709,10389652,NA,"complete",NA,"65cd2902abeaa111a2fc9de2","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 1 (Clone)",1,"JAIBHCGDFE","Passed AC2",NA,"1","2","SUPPRF92611"
"1",1707944734207,"14/02/2024 21:05:34",1707944734207,0,"14/02/2024 21:05:34",165975,4,"questionnaire-xamc",NA,35158852,10389709,NA,"complete",NA,"65cd2ae8ae300aebd05b7b20","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x676",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Passed AC2",NA,"1","2","SUPPRF40465"
"1",1707945239230,"14/02/2024 21:13:59",1707945239230,0,"14/02/2024 21:13:59",165975,4,"questionnaire-xamc",NA,35159016,10389752,NA,"complete",NA,"65cd2bd69dae843a0d0fa55a","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x632",NA,NA,0,"Attention Check 1 (Clone)",1,"BCADJEIFHG","Passed AC2",NA,"1","2","SUPPRF16777"
"1",1707947130545,"14/02/2024 21:45:30",1707929130545,-5,"14/02/2024 11:45:30",165975,4,"questionnaire-xamc",NA,35159653,10389981,NA,"complete",NA,"65cd338a0239a19d29ad36c2","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x779",NA,NA,0,"Attention Check 1 (Clone)",1,"FGEHDICJBA","Passed AC2",NA,"1","2","SUPPRF20506"
"1",1707947044522,"14/02/2024 21:44:04",1707929044522,-5,"14/02/2024 11:44:04",165975,4,"questionnaire-xamc",NA,35159619,10389987,NA,"complete",NA,"65cd33dfef34c8f5a60aecef","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x919",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIAJ","Passed AC2",NA,"1","2","SUPPRF86890"
"1",1707948576709,"14/02/2024 22:09:36",1707952176709,1,"15/02/2024 00:09:36",165975,4,"questionnaire-xamc",NA,35160237,10390088,NA,"complete",NA,"65cd38310bb5765ca0640f9b","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x641",NA,NA,0,"Attention Check 1 (Clone)",1,"JAIBHCGDFE","Passed AC2",NA,"1","2","SUPPRF75152"
"1",1707948495399,"14/02/2024 22:08:15",1707926895399,-6,"14/02/2024 10:08:15",165975,4,"questionnaire-xamc",NA,35160202,10390104,NA,"complete",NA,"65cd38aa94405b34e6d1f3c9","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x593",NA,NA,0,"Attention Check 1 (Clone)",1,"IJHAGBFCED","Passed AC2",NA,"1","2","SUPPRF64920"
"1",1707948413223,"14/02/2024 22:06:53",1707930413223,-5,"14/02/2024 12:06:53",165975,4,"questionnaire-xamc",NA,35160162,10390107,NA,"complete",NA,"65cd38c5ef6e6cca3a77babf","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 1 (Clone)",1,"HIGJFAEBDC","Passed AC2",NA,"1","2","SUPPRF87945"
"1",1707948345180,"14/02/2024 22:05:45",1707948345180,0,"14/02/2024 22:05:45",165975,4,"questionnaire-xamc",NA,35160139,10390114,NA,"complete",NA,"65cd3873c06aada397cbf2e2","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Attention Check 1 (Clone)",1,"GHFIEJDACB","Passed AC2",NA,"1","2","SUPPRF73279"
"1",1707948807715,"14/02/2024 22:13:27",1707952407715,1,"15/02/2024 00:13:27",165975,4,"questionnaire-xamc",NA,35160315,10390137,NA,"rejected - time limit reached",NA,"65cd395206151f0d36e04fb1","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 1 (Clone)",1,"CDBEAFJGIH","Passed AC2",NA,"1","2","SUPPRF35504"
"1",1707948836418,"14/02/2024 22:13:56",1707952436418,1,"15/02/2024 00:13:56",165975,4,"questionnaire-xamc",NA,35160344,10390149,NA,"complete",NA,"65cd39e3abeaa111a2fca0d8","computer","Desktop or Laptop","Linux x86_64","Chrome 120.0.0.0","360x820","980x1982",NA,NA,0,"Attention Check 1 (Clone)",1,"DECFBGAHJI","Passed AC2",NA,"1","2","SUPPRF62431"
"1",1707948750759,"14/02/2024 22:12:30",1707948750759,0,"14/02/2024 22:12:30",165975,4,"questionnaire-xamc",NA,35160314,10390161,NA,"complete",NA,"65cd3a930bb5765ca064100b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 1 (Clone)",1,"ABJCIDHEGF","Passed AC2",NA,"1","2","SUPPRF52411"
"1",1707949572919,"14/02/2024 22:26:12",1707924372919,-7,"14/02/2024 08:26:12",165975,4,"questionnaire-xamc",NA,35160650,10390246,NA,"complete",NA,"65cd3da17b5daf953908ed00","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1792x1120","1792x951",NA,NA,0,"Attention Check 1 (Clone)",1,"EFDGCHBIAJ","Passed AC2",NA,"1","2","SUPPRF30004"
