Event.Index,UTC.Timestamp,UTC.Date.and.Time,Local.Timestamp,Local.Timezone,Local.Date.and.Time,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Room.ID,Room.Order,Task.Name,Task.Version,order.ot79,branch.g31k,branch.5gtn,Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day,Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised,Random_ID
1,1.70794E+12,14/02/2024 19:53,1.70794E+12,0,14/02/2024 19:53,165975,4,questionnaire-wop8,NA,35156892,10389048,NA,complete,NA,65cd1867a8c70a340c80a8be,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x911,NA,NA,0,Attention Check 2 (Clone),1,ABJCIDHEGF,Passed AC2,NA,1-0,1,SUPPRF64725
1,1.70794E+12,14/02/2024 19:58,1.70792E+12,-5,14/02/2024 09:58,165975,4,questionnaire-wop8,NA,35157046,10389073,NA,complete,NA,65cd193ab210334c78dff783,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x684,NA,NA,0,Attention Check 2 (Clone),1,BCADJEIFHG,Passed AC2,NA,1-0,1,SUPPRF73357
1,1.70794E+12,14/02/2024 20:49,1.70794E+12,0,14/02/2024 20:49,165975,4,questionnaire-wop8,NA,35158449,10389205,NA,complete,NA,65cd1c256f7be3af7ebb1a2d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1420x707,NA,NA,0,Attention Check 2 (Clone),1,EFDGCHBIAJ,Passed AC2,NA,1-0,1,SUPPRF82095
1,1.70794E+12,14/02/2024 20:21,1.70792E+12,-6,14/02/2024 08:21,165975,4,questionnaire-wop8,NA,35157771,10389250,NA,complete,NA,65cd1e48f963d201475b76d4,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x953,NA,NA,0,Attention Check 2 (Clone),1,DECFBGAHJI,Passed AC2,NA,1-0,1,SUPPRF29203
1,1.70794E+12,14/02/2024 20:27,1.70794E+12,0,14/02/2024 20:27,165975,4,questionnaire-wop8,NA,35157908,10389285,NA,complete,NA,65cd1f657ceb9cd7d4dfacc3,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.54,1440x900,1440x821,NA,NA,0,Attention Check 2 (Clone),1,FGEHDICJBA,Passed AC2,NA,1-0,1,SUPPRF29384
1,1.70794E+12,14/02/2024 21:08,1.70795E+12,1,14/02/2024 23:08,165975,4,questionnaire-wop8,NA,35158904,10389435,NA,complete,NA,65cd2321df8f04f73b0873bb,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x730,NA,NA,0,Attention Check 2 (Clone),1,GHFIEJDACB,Passed AC2,NA,1-0,1,SUPPRF74532
1,1.70794E+12,14/02/2024 20:56,1.70795E+12,1,14/02/2024 22:56,165975,4,questionnaire-wop8,NA,35158603,10389452,NA,complete,NA,65cd240b9901cef693c9dee4,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x991,NA,NA,0,Attention Check 2 (Clone),1,HIGJFAEBDC,Passed AC2,NA,1-0,1,SUPPRF79953
1,1.70794E+12,14/02/2024 20:56,1.70794E+12,0,14/02/2024 20:56,165975,4,questionnaire-wop8,NA,35158608,10389500,NA,complete,NA,65cd24fb55260acb6c71c388,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 121.0.0.0,1536x864,1536x695,NA,NA,0,Attention Check 2 (Clone),1,IJHAGBFCED,Passed AC2,NA,1-0,1,SUPPRF11788
1,1.70794E+12,14/02/2024 21:09,1.70794E+12,0,14/02/2024 21:09,165975,4,questionnaire-wop8,NA,35158928,10389652,NA,complete,NA,65cd2902abeaa111a2fc9de2,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x695,NA,NA,0,Attention Check 2 (Clone),1,JAIBHCGDFE,Passed AC2,NA,1-0,1,SUPPRF92611
1,1.70795E+12,14/02/2024 21:11,1.70795E+12,0,14/02/2024 21:11,165975,4,questionnaire-wop8,NA,35158978,10389709,NA,complete,NA,65cd2ae8ae300aebd05b7b20,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1440x676,NA,NA,0,Attention Check 2 (Clone),1,ABJCIDHEGF,Passed AC2,NA,1-0,1,SUPPRF40465
