Event.Index,UTC.Timestamp,UTC.Date.and.Time,Local.Timestamp,Local.Timezone,Local.Date.and.Time,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Room.ID,Room.Order,Task.Name,Task.Version,order.ot79,branch.g31k,branch.5gtn,Spreadsheet,Trial.Number,Display,Screen,Screen.ID,Screen.Counter,Response.Type,Response,Onset.Time,Clock.Time,Reaction.Time,Absolute.Onset.Time,Absolute.Clock.Time,Absolute.Reaction.Time,Correct,Response.Onset,Response.Duration,Proportion,Tag,Component.Name,Object.Name,Object.Number,Object.ID,Spreadsheet..display,Manipulation..Spreadsheet,Random_ID
1,1.70794E+12,14/02/2024 19:53,1.70794E+12,0,14/02/2024 19:53,165975,4,task-v7r7,NA,35156900,10389048,NA,complete,NA,65cd1867a8c70a340c80a8be,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x911,NA,NA,0,Task Introduction and Instructions (re-introduce video and audio) (Clone),3,ABJCIDHEGF,Passed AC2,NA,Spreadsheet1,NA,,,,NA,5,BEGIN,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,,NA,,,NA,SUPPRF64725
2,1.70794E+12,14/02/2024 19:53,1.70794E+12,0,14/02/2024 19:53,165975,4,task-v7r7,NA,35156900,10389048,NA,complete,NA,65cd1867a8c70a340c80a8be,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x911,NA,NA,0,Task Introduction and Instructions (re-introduce video and audio) (Clone),3,ABJCIDHEGF,Passed AC2,NA,Spreadsheet1,1,Task Instructions,Screen 1,anr7sn,1,continue,,3300.6,3298.6,3300.6,3300.6,3298.6,3300.6,1,3300.6,0,0,NA,Click To Continue,Continue Button,3,object-60,Task Instructions,NA,SUPPRF64725
3,1.70794E+12,14/02/2024 19:53,1.70794E+12,0,14/02/2024 19:53,165975,4,task-v7r7,NA,35156900,10389048,NA,complete,NA,65cd1867a8c70a340c80a8be,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x911,NA,NA,0,Task Introduction and Instructions (re-introduce video and audio) (Clone),3,ABJCIDHEGF,Passed AC2,NA,Spreadsheet1,1,Task Instructions,Screen 2,ce2tc8,2,continue,,11682.1,11680.5,11682.1,11682.1,11680.5,11682.1,1,11682.1,0,0,NA,Click To Continue,Continue Button,3,object-59,Task Instructions,NA,SUPPRF64725
4,1.70794E+12,14/02/2024 19:53,1.70794E+12,0,14/02/2024 19:53,165975,4,task-v7r7,NA,35156900,10389048,NA,complete,NA,65cd1867a8c70a340c80a8be,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x911,NA,NA,0,Task Introduction and Instructions (re-introduce video and audio) (Clone),3,ABJCIDHEGF,Passed AC2,NA,Spreadsheet1,1,Task Instructions,Screen 3,1qtc8v,3,continue,,4689.6,4687.4,4689.6,4689.6,4687.4,4689.6,1,4689.6,0,0,NA,Click To Continue,Continue Button,2,object-2983,Task Instructions,NA,SUPPRF64725
5,1.70794E+12,14/02/2024 19:54,1.70794E+12,0,14/02/2024 19:54,165975,4,task-v7r7,NA,35156900,10389048,NA,complete,NA,65cd1867a8c70a340c80a8be,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x911,NA,NA,0,Task Introduction and Instructions (re-introduce video and audio) (Clone),3,ABJCIDHEGF,Passed AC2,NA,Spreadsheet1,1,Task Instructions,Screen 12,1a4vu2,4,continue,,12498.4,12493,12498.4,12498.4,12493,12498.4,1,12498.4,0,0,NA,Click To Continue,Continue Button,2,object-2466,Task Instructions,NA,SUPPRF64725
6,1.70794E+12,14/02/2024 19:54,1.70794E+12,0,14/02/2024 19:54,165975,4,task-v7r7,NA,35156900,10389048,NA,complete,NA,65cd1867a8c70a340c80a8be,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x911,NA,NA,0,Task Introduction and Instructions (re-introduce video and audio) (Clone),3,ABJCIDHEGF,Passed AC2,NA,Spreadsheet1,1,Task Instructions,Screen 13,q9vwda,5,continue,,5765.2,5763.8,5765.2,5765.2,5763.8,5765.2,1,5765.2,0,0,NA,Click To Continue,Continue Button,2,object-2989,Task Instructions,NA,SUPPRF64725
7,1.70794E+12,14/02/2024 19:54,1.70794E+12,0,14/02/2024 19:54,165975,4,task-v7r7,NA,35156900,10389048,NA,complete,NA,65cd1867a8c70a340c80a8be,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x911,NA,NA,0,Task Introduction and Instructions (re-introduce video and audio) (Clone),3,ABJCIDHEGF,Passed AC2,NA,Spreadsheet1,1,Task Instructions,Screen 11,oyulb7,6,continue,,2585.4,2583.4,2585.4,2585.4,2583.4,2585.4,1,2585.4,0,0,NA,Click To Continue,Continue Button,2,object-52,Task Instructions,NA,SUPPRF64725
8,1.70794E+12,14/02/2024 19:54,1.70794E+12,0,14/02/2024 19:54,165975,4,task-v7r7,NA,35156900,10389048,NA,complete,NA,65cd1867a8c70a340c80a8be,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x911,NA,NA,0,Task Introduction and Instructions (re-introduce video and audio) (Clone),3,ABJCIDHEGF,Passed AC2,NA,Spreadsheet1,1,Task Instructions,Screen 4,spepx9,7,continue,,3314.1,3312.3,3314.1,3314.1,3312.3,3314.1,1,3314.1,0,0,NA,Click To Continue,Continue Button,2,object-9,Task Instructions,NA,SUPPRF64725
9,1.70794E+12,14/02/2024 19:54,1.70794E+12,0,14/02/2024 19:54,165975,4,task-v7r7,NA,35156900,10389048,NA,complete,NA,65cd1867a8c70a340c80a8be,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x911,NA,NA,0,Task Introduction and Instructions (re-introduce video and audio) (Clone),3,ABJCIDHEGF,Passed AC2,NA,Spreadsheet1,1,Task Instructions,Screen 5,8nvnao,8,continue,,2793.7,2791.7,2793.7,2793.7,2791.7,2793.7,1,2793.7,0,0,NA,Click To Continue,Continue Button,2,object-44,Task Instructions,NA,SUPPRF64725
10,1.70794E+12,14/02/2024 19:54,1.70794E+12,0,14/02/2024 19:54,165975,4,task-v7r7,NA,35156900,10389048,NA,complete,NA,65cd1867a8c70a340c80a8be,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x911,NA,NA,0,Task Introduction and Instructions (re-introduce video and audio) (Clone),3,ABJCIDHEGF,Passed AC2,NA,Spreadsheet1,NA,,,,NA,5,END,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,,NA,,,NA,SUPPRF64725
