"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1705066665908,"12/01/2024 13:37:45",1705066665908,0,"12/01/2024 13:37:45",159402,5,"task-gjqt",NA,34161181,10092271,NA,"rejected - time limit reached",NA,"65a13ea9dc38b89f5c43fb80","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF02872"
"2",1705066695720,"12/01/2024 13:38:15",1705066695720,0,"12/01/2024 13:38:15",159402,5,"task-gjqt",NA,34161181,10092271,NA,"rejected - time limit reached",NA,"65a13ea9dc38b89f5c43fb80","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",29835.6999999046,29829.6,29835.6999999046,29835.6999999046,29829.6,29835.6999999046,1,29835.6999999046,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPPRF02872"
"3",1705066695724,"12/01/2024 13:38:15",1705066695724,0,"12/01/2024 13:38:15",159402,5,"task-gjqt",NA,34161181,10092271,NA,"rejected - time limit reached",NA,"65a13ea9dc38b89f5c43fb80","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",16928.4,29829.6,29841.1999999046,16928.4,29829.6,29841.1999999046,1,16928.4,12912.7999999046,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPPRF02872"
"4",1705066695724,"12/01/2024 13:38:15",1705066695724,0,"12/01/2024 13:38:15",159402,5,"task-gjqt",NA,34161181,10092271,NA,"rejected - time limit reached",NA,"65a13ea9dc38b89f5c43fb80","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",23095,29829.6,29841.8999997139,23095,29829.6,29841.8999997139,1,23095,6746.8999997139,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPPRF02872"
"5",1705066695725,"12/01/2024 13:38:15",1705066695725,0,"12/01/2024 13:38:15",159402,5,"task-gjqt",NA,34161181,10092271,NA,"rejected - time limit reached",NA,"65a13ea9dc38b89f5c43fb80","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","0",29111,29829.6,29842.3999997139,29111,29829.6,29842.3999997139,1,29111,731.399999713896,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPPRF02872"
"6",1705066716022,"12/01/2024 13:38:36",1705066716022,0,"12/01/2024 13:38:36",159402,5,"task-gjqt",NA,34161181,10092271,NA,"rejected - time limit reached",NA,"65a13ea9dc38b89f5c43fb80","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",20309.1999998093,20304.2,20309.1999998093,20309.1999998093,20304.2,20309.1999998093,1,20309.1999998093,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPPRF02872"
"7",1705066716026,"12/01/2024 13:38:36",1705066716026,0,"12/01/2024 13:38:36",159402,5,"task-gjqt",NA,34161181,10092271,NA,"rejected - time limit reached",NA,"65a13ea9dc38b89f5c43fb80","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","7",6016,20304.2,20313.9000000954,6016,20304.2,20313.9000000954,1,6016,14297.9000000954,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPPRF02872"
"8",1705066716027,"12/01/2024 13:38:36",1705066716027,0,"12/01/2024 13:38:36",159402,5,"task-gjqt",NA,34161181,10092271,NA,"rejected - time limit reached",NA,"65a13ea9dc38b89f5c43fb80","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","1",11380.4,20304.2,20314.5999999046,11380.4,20304.2,20314.5999999046,1,11380.4,8934.19999990463,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPPRF02872"
"9",1705066716028,"12/01/2024 13:38:36",1705066716028,0,"12/01/2024 13:38:36",159402,5,"task-gjqt",NA,34161181,10092271,NA,"rejected - time limit reached",NA,"65a13ea9dc38b89f5c43fb80","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","0",19619.1,20304.2,20315.2999997139,19619.1,20304.2,20315.2999997139,1,19619.1,696.199999713899,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPPRF02872"
"10",1705066726968,"12/01/2024 13:38:46",1705066726968,0,"12/01/2024 13:38:46",159402,5,"task-gjqt",NA,34161181,10092271,NA,"rejected - time limit reached",NA,"65a13ea9dc38b89f5c43fb80","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1440x900","1440x779",NA,NA,0,"BIQ (Charlotte)",3,"CDBEAFJGIH","Passed AC2","","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",10950.3999999046,10946,10950.3999999046,10950.3999999046,10946,10950.3999999046,1,10950.3999999046,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPPRF02872"
