faces,Count_Critical,Percentage_Critical,Count_Easy,Percentage_Easy,rank_Easy,rank_Critical,Critical_pvalue,Easy_pvalue
CFD-AF-211-066-H.jpeg,2,9.09,9,40.91,9,18,0.9999999999999998,0.955434537241457
CFD-AF-211-066-N.jpg,11,50,0,0,17,10,0.5,1
CFD-AF-233-190-H.jpeg,0,0,12,54.55,6,20,1,0.1840601253467595
CFD-AF-233-190-N.jpg,4,18.18,1,4.55,16,17,0.9999999998511772,1
CFD-AF-250-200-H.jpeg,0,0,8,36.36,10,20,1,0.9965330261969594
CFD-AF-250-200-N.jpg,6,27.27,1,4.55,16,15,0.9999966023268753,1
CFD-AM-220-134-H.jpeg,0,0,14,63.64,4,20,1,0.0034669738030406656
CFD-AM-220-134-N.jpg,18,81.82,0,0,17,3,1.4882282217623127e-10,1
CFD-AM-223-138-H.jpeg,0,0,11,50,7,20,1,0.5
CFD-AM-223-138-N.jpg,14,63.64,0,0,17,7,0.0034669738030406656,1
CFD-AM-225-102-H.jpeg,0,0,11,50,7,20,1,0.5
CFD-AM-225-102-N.jpg,15,68.18,0,0,17,6,2.3262907903552494e-4,1
CFD-BF-008-001-H.jpeg,1,4.55,7,31.82,11,19,1,0.9997673709209645
CFD-BF-008-001-N.jpg,5,22.73,1,4.55,16,16,0.9999999420986596,1
CFD-BF-029-031-H.jpeg,2,9.09,9,40.91,9,18,0.9999999999999998,0.955434537241457
CFD-BF-029-031-N.jpg,14,63.64,0,0,17,7,0.0034669738030406656,1
CFD-BF-030-002-H.jpeg,0,0,14,63.64,4,20,1,0.0034669738030406656
CFD-BF-030-002-N.jpg,7,31.82,0,0,17,14,0.9997673709209645,1
CFD-BF-040-003-H.jpeg,0,0,15,68.18,3,20,1,2.3262907903552494e-4
CFD-BF-040-003-N.jpg,6,27.27,1,4.55,16,15,0.9999966023268753,1
CFD-BM-016-036-H.jpeg,0,0,7,31.82,11,20,1,0.9997673709209645
CFD-BM-016-036-N.jpg,9,40.91,0,0,17,12,0.955434537241457,1
CFD-BM-028-002-H.jpeg,0,0,10,45.45,8,20,1,0.8159398746532405
CFD-BM-028-002-N.jpg,17,77.27,0,0,17,4,5.790134039964592e-8,1
CFD-BM-036-003-H.jpeg,0,0,13,59.09,5,20,1,0.04456546275854304
CFD-BM-036-003-N.jpg,0,0,1,4.55,16,20,1,1
CFD-BM-045-004-H.jpeg,0,0,11,50,7,20,1,0.5
CFD-BM-045-004-N.jpg,16,72.73,0,0,17,5,3.39767312473006e-6,1
CFD-IF-693-172-H.jpeg,0,0,6,27.27,12,20,1,0.9999966023268753
CFD-IF-693-172-N.jpg,12,54.55,1,4.55,16,9,0.1840601253467595,1
CFD-IF-734-108-H.jpeg,0,0,13,59.09,5,20,1,0.04456546275854304
CFD-IF-734-108-N.jpg,5,22.73,1,4.55,16,16,0.9999999420986596,1
CFD-IM-695-001-H.jpeg,1,4.55,12,54.55,6,19,1,0.1840601253467595
CFD-IM-695-001-N.jpg,6,27.27,0,0,17,15,0.9999966023268753,1
CFD-IM-711-011-H.jpeg,0,0,12,54.55,6,20,1,0.1840601253467595
CFD-IM-711-011-N.jpg,11,50,0,0,17,10,0.5,1
CFD-MF-309-002-H.jpeg,0,0,11,50,7,20,1,0.5
CFD-MF-309-002-N.jpg,15,68.18,0,0,17,6,2.3262907903552494e-4,1
CFD-MF-315-002-H.jpeg,1,4.55,11,50,7,19,1,0.5
CFD-MF-315-002-N.jpg,7,31.82,1,4.55,16,14,0.9997673709209645,1
CFD-MM-308-001-H.jpeg,0,0,10,45.45,8,20,1,0.8159398746532405
CFD-MM-308-001-N.jpg,21,95.45,0,0,17,1,2.792334374939647e-19,1
CFD-MM-313-002-H.jpeg,1,4.55,16,72.73,2,19,1,3.39767312473006e-6
CFD-MM-313-002-N.jpg,1,4.55,7,31.82,11,19,1,0.9997673709209645
CFD-WF-006-002-H.jpeg,0,0,7,31.82,11,20,1,0.9997673709209645
CFD-WF-006-002-N.jpg,16,72.73,0,0,17,5,3.39767312473006e-6,1
CFD-WF-009-001-H.jpeg,2,9.09,13,59.09,5,18,0.9999999999999998,0.04456546275854304
CFD-WF-009-001-N.jpg,9,40.91,0,0,17,12,0.955434537241457,1
CFD-WF-011-002-H.jpeg,0,0,7,31.82,11,20,1,0.9997673709209645
CFD-WF-011-002-N.jpg,12,54.55,0,0,17,9,0.1840601253467595,1
CFD-WF-012-002-H.jpeg,0,0,13,59.09,5,20,1,0.04456546275854304
CFD-WF-012-002-N.jpg,13,59.09,0,0,17,8,0.04456546275854304,1
CFD-WF-015-006-H.jpeg,1,4.55,9,40.91,9,19,1,0.955434537241457
CFD-WF-015-006-N.jpg,12,54.55,1,4.55,16,9,0.1840601253467595,1
CFD-WF-017-003-H.jpeg,1,4.55,5,22.73,13,19,1,0.9999999420986596
CFD-WF-017-003-N.jpg,11,50,1,4.55,16,10,0.5,1
CFD-WF-022-017-H.jpeg,0,0,11,50,7,20,1,0.5
CFD-WF-022-017-N.jpg,7,31.82,0,0,17,14,0.9997673709209645,1
CFD-WF-024-003-H.jpeg,0,0,6,27.27,12,20,1,0.9999966023268753
CFD-WF-024-003-N.jpg,13,59.09,0,0,17,8,0.04456546275854304,1
CFD-WF-027-003-H.jpeg,0,0,7,31.82,11,20,1,0.9997673709209645
CFD-WF-027-003-N.jpg,6,27.27,0,0,17,15,0.9999966023268753,1
CFD-WF-030-002-H.jpeg,0,0,9,40.91,9,20,1,0.955434537241457
CFD-WF-030-002-N.jpg,12,54.55,0,0,17,9,0.1840601253467595,1
CFD-WF-031-027-H.jpeg,0,0,6,27.27,12,20,1,0.9999966023268753
CFD-WF-031-027-N.jpg,12,54.55,0,0,17,9,0.1840601253467595,1
CFD-WF-035-024-H.jpeg,0,0,11,50,7,20,1,0.5
CFD-WF-035-024-N.jpg,6,27.27,1,4.55,16,15,0.9999966023268753,1
CFD-WF-036-023-H.jpeg,1,4.55,10,45.45,8,19,1,0.8159398746532405
CFD-WF-036-023-N.jpg,15,68.18,0,0,17,6,2.3262907903552494e-4,1
CFD-WF-037-029-H.jpeg,0,0,9,40.91,9,20,1,0.955434537241457
CFD-WF-037-029-N.jpg,10,45.45,1,4.55,16,11,0.8159398746532405,1
CFD-WF-039-025-H.jpeg,0,0,8,36.36,10,20,1,0.9965330261969594
CFD-WF-039-025-N.jpg,11,50,0,0,17,10,0.5,1
CFD-WM-001-014-H.jpeg,0,0,10,45.45,8,20,1,0.8159398746532405
CFD-WM-001-014-N.jpg,12,54.55,0,0,17,9,0.1840601253467595,1
CFD-WM-009-002-H.jpeg,1,4.55,12,54.55,6,19,1,0.1840601253467595
CFD-WM-009-002-N.jpg,14,63.64,0,0,17,7,0.0034669738030406656,1
CFD-WM-015-002-H.jpeg,1,4.55,5,22.73,13,19,1,0.9999999420986596
CFD-WM-015-002-N.jpg,17,77.27,0,0,17,4,5.790134039964592e-8,1
CFD-WM-019-003-H.jpeg,2,9.09,2,9.09,15,18,0.9999999999999998,0.9999999999999998
CFD-WM-019-003-N.jpg,20,90.91,0,0,17,2,2.747959392398229e-16,1
CFD-WM-024-015-H.jpeg,0,0,13,59.09,5,20,1,0.04456546275854304
CFD-WM-024-015-N.jpg,8,36.36,1,4.55,16,13,0.9965330261969594,1
CFD-WM-025-002-H.jpeg,1,4.55,8,36.36,10,19,1,0.9965330261969594
CFD-WM-025-002-N.jpg,6,27.27,1,4.55,16,15,0.9999966023268753,1
CFD-WM-026-001-H.jpeg,0,0,7,31.82,11,20,1,0.9997673709209645
CFD-WM-026-001-N.jpg,16,72.73,0,0,17,5,3.39767312473006e-6,1
CFD-WM-028-003-H.jpeg,0,0,6,27.27,12,20,1,0.9999966023268753
CFD-WM-028-003-N.jpg,15,68.18,0,0,17,6,2.3262907903552494e-4,1
CFD-WM-031-003-H.jpeg,0,0,4,18.18,14,20,1,0.9999999998511772
CFD-WM-031-003-N.jpg,7,31.82,0,0,17,14,0.9997673709209645,1
CFD-WM-034-030-H.jpeg,0,0,7,31.82,11,20,1,0.9997673709209645
CFD-WM-034-030-N.jpg,11,50,0,0,17,10,0.5,1
CFD-WM-035-032-H.jpeg,0,0,8,36.36,10,20,1,0.9965330261969594
CFD-WM-035-032-N.jpg,21,95.45,0,0,17,1,2.792334374939647e-19,1
CFD-WM-036-031-H.jpeg,0,0,12,54.55,6,20,1,0.1840601253467595
CFD-WM-036-031-N.jpg,14,63.64,0,0,17,7,0.0034669738030406656,1
CFD-WM-037-025-H.jpeg,0,0,17,77.27,1,20,1,5.790134039964592e-8
CFD-WM-037-025-N.jpg,13,59.09,0,0,17,8,0.04456546275854304,1
