faces,Count_Critical,Percentage_Critical,Count_Easy,Percentage_Easy,rank_Easy,rank_Critical,Critical_pvalue,Easy_pvalue
CFD-AM-220-134-H.jpeg,0,0,14,63.64,4,20,1,0.0034669738030406656
CFD-BF-030-002-H.jpeg,0,0,14,63.64,4,20,1,0.0034669738030406656
CFD-BF-040-003-H.jpeg,0,0,15,68.18,3,20,1,2.3262907903552494e-4
CFD-BM-036-003-H.jpeg,0,0,13,59.09,5,20,1,0.04456546275854304
CFD-IF-734-108-H.jpeg,0,0,13,59.09,5,20,1,0.04456546275854304
CFD-MM-313-002-H.jpeg,1,4.55,16,72.73,2,19,1,3.39767312473006e-6
CFD-WF-009-001-H.jpeg,2,9.09,13,59.09,5,18,0.9999999999999998,0.04456546275854304
CFD-WF-012-002-H.jpeg,0,0,13,59.09,5,20,1,0.04456546275854304
CFD-WM-024-015-H.jpeg,0,0,13,59.09,5,20,1,0.04456546275854304
CFD-WM-037-025-H.jpeg,0,0,17,77.27,1,20,1,5.790134039964592e-8
